# omega(Hartree), S(1/Hartree)
3.098384835698663083e-03,2.987976024812876719e-01
6.196769671397326165e-03,3.053800785096939530e-01
9.295154507095988380e-03,3.119625545381002341e-01
1.239353934279465233e-02,3.185450305665064596e-01
1.549192417849331628e-02,3.251275065949127407e-01
1.859030901419197676e-02,3.317099826233190218e-01
2.168869384989064591e-02,3.382924586517253029e-01
2.478707868558930466e-02,3.448749346801315285e-01
2.788546352128796688e-02,3.514574107085378096e-01
3.098384835698663256e-02,3.580798314766742152e-01
3.408223319268529478e-02,3.653213957106257181e-01
3.718061802838395352e-02,3.725629599445772211e-01
4.027900286408262615e-02,3.798045241785287796e-01
4.337738769978129183e-02,3.870460884124802825e-01
4.647577253547994364e-02,3.942876526464317855e-01
4.957415737117860932e-02,4.015292168803833439e-01
5.267254220687727501e-02,4.087707811143348469e-01
5.577092704257593375e-02,4.160123453482863498e-01
5.886931187827459944e-02,4.233239448316348796e-01
6.196769671397326512e-02,4.311432998731110078e-01
6.506608154967193081e-02,4.389626549145872469e-01
6.816446638537058955e-02,4.467820099560632086e-01
7.126285122106926218e-02,4.546013649975393367e-01
7.436123605676790704e-02,4.624207200390154093e-01
7.745962089246657967e-02,4.702400750804915375e-01
8.055800572816525229e-02,4.780594301219678322e-01
8.365639056386391104e-02,4.858787851634439048e-01
8.675477539956258366e-02,4.937832634043793356e-01
8.985316023526122853e-02,5.020707960428810734e-01
9.295154507095988727e-02,5.103583286813829778e-01
9.604992990665855990e-02,5.186458613198847711e-01
9.914831474235721864e-02,5.269333939583866755e-01
1.022466995780558913e-01,5.352209265968884688e-01
1.053450844137545500e-01,5.435084592353902622e-01
1.084434692494532088e-01,5.517959918738921665e-01
1.115418540851518675e-01,5.600835245123938488e-01
1.146402389208505401e-01,5.684522355507528601e-01
1.177386237565491989e-01,5.770746290886646923e-01
1.208370085922478715e-01,5.856970226265765245e-01
1.239353934279465302e-01,5.943194161644883566e-01
1.270337782636451751e-01,6.029418097024000778e-01
1.301321630993438616e-01,6.115642032403120210e-01
1.332305479350425204e-01,6.201865967782239641e-01
1.363289327707411791e-01,6.288089903161356853e-01
1.394273176064398378e-01,6.374313838540475174e-01
1.425257024421385244e-01,6.461095287342308868e-01
1.456240872778371553e-01,6.549159017016376039e-01
1.487224721135358141e-01,6.637222746690446540e-01
1.518208569492345006e-01,6.725286476364515931e-01
1.549192417849331593e-01,6.813350206038583101e-01
1.580176266206318181e-01,6.901413935712653602e-01
1.611160114563305046e-01,6.989477665386722993e-01
1.642143962920291633e-01,7.077541395060792384e-01
1.673127811277278221e-01,7.165605124734861775e-01
1.704111659634264808e-01,7.253750588080737360e-01
1.735095507991251673e-01,7.342039085352275452e-01
1.766079356348237983e-01,7.430327582623813543e-01
1.797063204705224571e-01,7.518616079895351634e-01
1.828047053062211158e-01,7.606904577166889725e-01
1.859030901419197745e-01,7.695193074438427816e-01
1.890014749776184610e-01,7.783481571709965907e-01
1.920998598133171198e-01,7.871770068981505108e-01
1.951982446490157785e-01,7.960058566253043200e-01
1.982966294847144373e-01,8.047741994748107697e-01
2.013950143204131238e-01,8.134604258475104377e-01
2.044933991561117825e-01,8.221466522202099947e-01
2.075917839918104413e-01,8.308328785929095517e-01
2.106901688275091000e-01,8.395191049656092197e-01
2.137885536632077310e-01,8.482053313383086657e-01
2.168869384989064175e-01,8.568915577110083337e-01
