#tau, F(tau), dF(tau)
0.000000000000000000e+00,1.001539998086695027e+00,1.705505989492660777e-04
6.787632973414421678e-02,9.669834792559008907e-01,1.704857451695262680e-04
1.357526594682884336e-01,9.340037681936734781e-01,1.703244072047064412e-04
2.036289892024326642e-01,9.025194180383661058e-01,1.700958311002236524e-04
2.715053189365768671e-01,8.724553419172265123e-01,1.697966774297109854e-04
3.393816486707210700e-01,8.437369543228510071e-01,1.694281270397693341e-04
4.072579784048653284e-01,8.162985819895153261e-01,1.690114016097174585e-04
4.751343081390095313e-01,7.900716022001202932e-01,1.685544467837352654e-04
5.430106378731537342e-01,7.649961938230591674e-01,1.680893476573401817e-04
6.108869676072979926e-01,7.410166978087545653e-01,1.675934640477231869e-04
6.787632973414421400e-01,7.180784797681191156e-01,1.670763895316633245e-04
7.466396270755863984e-01,6.961295478576625673e-01,1.665444869184054674e-04
8.145159568097306568e-01,6.751210581727310478e-01,1.660131896692746008e-04
8.823922865438748042e-01,6.550086439642596181e-01,1.654628309950020946e-04
9.502686162780190626e-01,6.357497180448468121e-01,1.649080454512833220e-04
1.018144946012163210e+00,6.173013563355427280e-01,1.643442976638922299e-04
1.086021275746307468e+00,5.996265806527507625e-01,1.637797948909158036e-04
1.153897605480451727e+00,5.826864823157439366e-01,1.632476378741636632e-04
1.221773935214595985e+00,5.664461266438622911e-01,1.627117296321752970e-04
1.289650264948740022e+00,5.508726451724199613e-01,1.621724996260166980e-04
1.357526594682884280e+00,5.359360093508538370e-01,1.616480832292514747e-04
1.425402924417028538e+00,5.216070514866583130e-01,1.611388231265654849e-04
1.493279254151172797e+00,5.078573713197910289e-01,1.606570556598278516e-04
1.561155583885317055e+00,4.946604842063793694e-01,1.601775287296494535e-04
1.629031913619461314e+00,4.819905819709511818e-01,1.596872570008170758e-04
1.696908243353605350e+00,4.698234566449324134e-01,1.592177835515927399e-04
1.764784573087749608e+00,4.581390069577214730e-01,1.587635748697427353e-04
1.832660902821893867e+00,4.469157834011711072e-01,1.583611295384686397e-04
1.900537232556038125e+00,4.361312758909164922e-01,1.579820396295358788e-04
1.968413562290182384e+00,4.257683277966300972e-01,1.576300633498840342e-04
2.036289892024326420e+00,4.158066511084231864e-01,1.572904956400718790e-04
2.104166221758470900e+00,4.062325476210479347e-01,1.569561598860238062e-04
2.172042551492614937e+00,3.970265907421068885e-01,1.566208591149330582e-04
2.239918881226758973e+00,3.881718028603701187e-01,1.563031597055307528e-04
2.307795210960903454e+00,3.796510547578158534e-01,1.560049990040572186e-04
2.375671540695047490e+00,3.714559527886615586e-01,1.557361520348365307e-04
2.443547870429191970e+00,3.635731969532656205e-01,1.554843891191309640e-04
2.511424200163336007e+00,3.559877225712764770e-01,1.552451722009949543e-04
2.579300529897480043e+00,3.486897369627178778e-01,1.550110876313634935e-04
2.647176859631624524e+00,3.416657792345297873e-01,1.547979402406451368e-04
2.715053189365768560e+00,3.349033798118770666e-01,1.546110839964293061e-04
2.782929519099913040e+00,3.283938103951642984e-01,1.544334039670407438e-04
2.850805848834057077e+00,3.221267324080715477e-01,1.542888833929925837e-04
2.918682178568201113e+00,3.160931198198767000e-01,1.541436358766175329e-04
2.986558508302345594e+00,3.102846782285120231e-01,1.540144394542514237e-04
3.054434838036489630e+00,3.046916986454220599e-01,1.539027284846621654e-04
3.122311167770634110e+00,2.993080846873228396e-01,1.537922051311662382e-04
3.190187497504778147e+00,2.941245261306886238e-01,1.537111946504971698e-04
3.258063827238922627e+00,2.891311903519004356e-01,1.536620214045311358e-04
3.325940156973066664e+00,2.843199578281678797e-01,1.536258608827812202e-04
3.393816486707210700e+00,2.796849918657760004e-01,1.536110152086596391e-04
3.461692816441355181e+00,2.752212111196930544e-01,1.536055799314609981e-04
3.529569146175499217e+00,2.709216605863166150e-01,1.536335719201680416e-04
3.597445475909643697e+00,2.667824273558502823e-01,1.536833530640485364e-04
3.665321805643787734e+00,2.627966254589259587e-01,1.537430942916248502e-04
3.733198135377931770e+00,2.589581360229887830e-01,1.538378614847175040e-04
3.801074465112076251e+00,2.552618518571247996e-01,1.539604482561482337e-04
3.868950794846220287e+00,2.517041715447552175e-01,1.540960135155580810e-04
3.936827124580364767e+00,2.482803181851895580e-01,1.542395486028823586e-04
4.004703454314508804e+00,2.449877879726579666e-01,1.544325499320742994e-04
4.072579784048652840e+00,2.418189663300890080e-01,1.546720343959163036e-04
4.140456113782796876e+00,2.387727110037928535e-01,1.549358175138824424e-04
4.208332443516941801e+00,2.358434236192202271e-01,1.552205324064842638e-04
4.276208773251085837e+00,2.330268926403515906e-01,1.554896159651903949e-04
4.344085102985229874e+00,2.303222873067151955e-01,1.557811287030330043e-04
4.411961432719373910e+00,2.277225820140529600e-01,1.561127766507738293e-04
4.479837762453517946e+00,2.252275019680596013e-01,1.564705109939081278e-04
4.547714092187662871e+00,2.228331640208623121e-01,1.568584306484192229e-04
4.615590421921806907e+00,2.205356964370506212e-01,1.572558612903700228e-04
4.683466751655950944e+00,2.183332821728473372e-01,1.576463881148738996e-04
4.751343081390094980e+00,2.162234192126687160e-01,1.580372251099128387e-04
4.819219411124239016e+00,2.142037842243626755e-01,1.584500348684283783e-04
4.887095740858383941e+00,2.122726002196738126e-01,1.588611078024286278e-04
4.954972070592527977e+00,2.104283464314143925e-01,1.593005240088432844e-04
5.022848400326672014e+00,2.086657316146695862e-01,1.597511778754975571e-04
5.090724730060816050e+00,2.069847782587080909e-01,1.602022709967828164e-04
5.158601059794960086e+00,2.053833762878781999e-01,1.606805753211770511e-04
5.226477389529105011e+00,2.038607261581559527e-01,1.611607993761648527e-04
5.294353719263249047e+00,2.024138317612710347e-01,1.616513009470392493e-04
5.362230048997393084e+00,2.010422124309602654e-01,1.621425951208945880e-04
5.430106378731537120e+00,1.997451849856141937e-01,1.626626818731415774e-04
5.497982708465681156e+00,1.985213663908634574e-01,1.631766045167005162e-04
5.565859038199826081e+00,1.973687130318866612e-01,1.636881429828715775e-04
5.633735367933970117e+00,1.962839145100188365e-01,1.642095837555655193e-04
5.701611697668114154e+00,1.952657642365792368e-01,1.647372403832495251e-04
5.769488027402258190e+00,1.943158226986146375e-01,1.652652850217491197e-04
5.837364357136402226e+00,1.934286821769103104e-01,1.658081752885335886e-04
5.905240686870547151e+00,1.926050807895602346e-01,1.663605443248685986e-04
5.973117016604691187e+00,1.918466979594147803e-01,1.669289841881805496e-04
6.040993346338835224e+00,1.911531380542855207e-01,1.674910797757641462e-04
6.108869676072979260e+00,1.905225594152646640e-01,1.680565653112181437e-04
6.176746005807123296e+00,1.899542546931648479e-01,1.686045369280895416e-04
6.244622335541268221e+00,1.894491993182631229e-01,1.691162387836403470e-04
6.312498665275412257e+00,1.890046867456684210e-01,1.695818753494973696e-04
6.380374995009556294e+00,1.886216147561220191e-01,1.700062331061185262e-04
6.448251324743700330e+00,1.882975709554758903e-01,1.704248416006626883e-04
6.516127654477845255e+00,1.880328829486687392e-01,1.707919118512954513e-04
6.584003984211989291e+00,1.878288324005130960e-01,1.710971303178518519e-04
6.651880313946133327e+00,1.876807472483704164e-01,1.713249682910175317e-04
6.719756643680277364e+00,1.875902910271534108e-01,1.714745365754533047e-04
6.787632973414421400e+00,1.875595622881650326e-01,1.715217985655057410e-04
6.855509303148566325e+00,1.875902910271534108e-01,1.714745365754533047e-04
6.923385632882710361e+00,1.876807472483704164e-01,1.713249682910175317e-04
6.991261962616854397e+00,1.878288324005130960e-01,1.710971303178518519e-04
7.059138292350998434e+00,1.880328829486687392e-01,1.707919118512954513e-04
7.127014622085142470e+00,1.882975709554758903e-01,1.704248416006626883e-04
7.194890951819287395e+00,1.886216147561220191e-01,1.700062331061185262e-04
7.262767281553431431e+00,1.890046867456684210e-01,1.695818753494973696e-04
7.330643611287575467e+00,1.894491993182631229e-01,1.691162387836403470e-04
7.398519941021719504e+00,1.899542546931648479e-01,1.686045369280895416e-04
7.466396270755863540e+00,1.905225594152646640e-01,1.680565653112181437e-04
7.534272600490008465e+00,1.911531380542855207e-01,1.674910797757641462e-04
7.602148930224152501e+00,1.918466979594147803e-01,1.669289841881805496e-04
7.670025259958296537e+00,1.926050807895602346e-01,1.663605443248685986e-04
7.737901589692440574e+00,1.934286821769103104e-01,1.658081752885335886e-04
7.805777919426584610e+00,1.943158226986146375e-01,1.652652850217491197e-04
7.873654249160729535e+00,1.952657642365792368e-01,1.647372403832495251e-04
7.941530578894873571e+00,1.962839145100188365e-01,1.642095837555655193e-04
8.009406908629017607e+00,1.973687130318866612e-01,1.636881429828715775e-04
8.077283238363161644e+00,1.985213663908634574e-01,1.631766045167005162e-04
8.145159568097305680e+00,1.997451849856141937e-01,1.626626818731415774e-04
8.213035897831449716e+00,2.010422124309602654e-01,1.621425951208945880e-04
8.280912227565593753e+00,2.024138317612710347e-01,1.616513009470392493e-04
8.348788557299737789e+00,2.038607261581559527e-01,1.611607993761648527e-04
8.416664887033883602e+00,2.053833762878781999e-01,1.606805753211770511e-04
8.484541216768027638e+00,2.069847782587080909e-01,1.602022709967828164e-04
8.552417546502171675e+00,2.086657316146695862e-01,1.597511778754975571e-04
8.620293876236315711e+00,2.104283464314143925e-01,1.593005240088432844e-04
8.688170205970459747e+00,2.122726002196738126e-01,1.588611078024286278e-04
8.756046535704603784e+00,2.142037842243626755e-01,1.584500348684283783e-04
8.823922865438747820e+00,2.162234192126687160e-01,1.580372251099128387e-04
8.891799195172891856e+00,2.183332821728473372e-01,1.576463881148738996e-04
8.959675524907035893e+00,2.205356964370506212e-01,1.572558612903700228e-04
9.027551854641181706e+00,2.228331640208623121e-01,1.568584306484192229e-04
9.095428184375325742e+00,2.252275019680596013e-01,1.564705109939081278e-04
9.163304514109469778e+00,2.277225820140529600e-01,1.561127766507738293e-04
9.231180843843613815e+00,2.303222873067151955e-01,1.557811287030330043e-04
9.299057173577757851e+00,2.330268926403515906e-01,1.554896159651903949e-04
